timestamp,total_ms,conv_ms,dc_ms,fc_ms,pool_ms,add_ms,mul_ms
2026-05-26 14:30:29,351,323,27,0,0,0,0
2026-05-26 14:30:30,351,323,26,0,0,0,0
2026-05-26 14:30:30,352,324,27,0,0,0,0
2026-05-26 14:30:30,352,324,27,0,0,0,0
2026-05-26 14:30:31,353,323,28,0,0,0,0
2026-05-26 14:30:31,350,322,26,0,0,0,0
2026-05-26 14:30:31,352,322,28,0,0,0,0
2026-05-26 14:30:32,351,324,26,0,0,0,0
2026-05-26 14:30:32,351,324,27,0,0,0,0
2026-05-26 14:30:33,351,323,26,0,0,0,0
2026-05-26 14:30:33,351,323,27,0,0,0,0
2026-05-26 14:30:33,350,322,26,0,0,0,0
2026-05-26 14:30:34,351,323,26,0,0,0,0
2026-05-26 14:30:34,351,323,26,0,0,0,0
2026-05-26 14:30:34,352,324,27,0,0,0,0
2026-05-26 14:30:35,352,324,26,0,0,0,0
2026-05-26 14:30:35,351,324,26,0,0,0,0
2026-05-26 14:30:35,350,323,26,0,0,0,0
2026-05-26 14:30:36,352,324,26,0,0,0,0
2026-05-26 14:30:36,350,322,26,0,0,0,0
2026-05-26 14:30:37,352,324,26,0,0,0,0
2026-05-26 14:30:37,351,324,26,0,0,0,0
2026-05-26 14:30:37,350,323,26,0,0,0,0
2026-05-26 14:30:38,349,322,26,0,0,0,0
2026-05-26 14:30:38,352,324,27,0,0,0,0
2026-05-26 14:30:56,351,322,27,0,0,0,0
2026-05-26 14:30:57,354,327,26,0,0,0,0
2026-05-26 14:30:57,351,323,27,0,0,0,0
2026-05-26 14:30:57,351,324,26,0,0,0,0
2026-05-26 14:30:58,351,323,27,0,0,0,0
2026-05-26 14:30:58,351,323,26,0,0,0,0
2026-05-26 14:30:58,352,324,27,0,0,0,0
2026-05-26 14:30:59,351,323,26,0,0,0,0
2026-05-26 14:30:59,351,323,27,0,0,0,0
2026-05-26 14:31:00,351,323,27,0,0,0,0
2026-05-26 14:31:00,352,324,26,0,0,0,0
2026-05-26 14:31:00,351,323,27,0,0,0,0
2026-05-26 14:31:01,351,324,26,0,0,0,0
2026-05-26 14:31:01,351,323,27,0,0,0,0
2026-05-26 14:31:01,351,324,26,0,0,0,0
2026-05-26 14:31:02,351,323,27,0,0,0,0
2026-05-26 14:31:02,352,324,26,0,0,0,0
2026-05-26 14:31:02,352,324,27,0,0,0,0
2026-05-26 14:31:03,351,324,26,0,0,0,0
2026-05-26 14:31:03,352,323,28,0,0,0,0
2026-05-26 14:31:04,351,323,26,0,0,0,0
2026-05-26 14:31:04,352,324,27,0,0,0,0
2026-05-26 14:31:04,352,324,26,0,0,0,0
2026-05-26 14:31:05,353,324,27,0,0,0,0
2026-05-26 14:31:05,351,323,26,0,0,0,0
2026-05-26 14:31:05,351,323,26,0,0,0,0
2026-05-26 14:31:06,351,323,27,0,0,0,0
2026-05-26 14:31:06,352,324,27,0,0,0,0
2026-05-26 14:31:06,351,323,27,0,0,0,0
2026-05-26 14:31:07,351,324,26,0,0,0,0
2026-05-26 14:31:07,350,323,27,0,0,0,0
2026-05-26 14:31:08,351,323,27,0,0,0,0
2026-05-26 14:31:08,352,324,27,0,0,0,0
2026-05-26 14:31:08,352,324,26,0,0,0,0
2026-05-26 14:31:09,353,324,27,0,0,0,0
2026-05-26 14:31:09,351,323,27,0,0,0,0
2026-05-26 14:31:09,351,323,27,0,0,0,0
2026-05-26 14:31:10,350,322,27,0,0,0,0
2026-05-26 14:31:10,353,324,27,0,0,0,0
2026-05-26 14:31:11,351,323,26,0,0,0,0
2026-05-26 14:31:11,351,324,26,0,0,0,0
2026-05-26 14:31:11,351,322,27,0,0,0,0
2026-05-26 14:31:11,351,324,26,0,0,0,0
2026-05-26 14:31:12,351,323,26,0,0,0,0
2026-05-26 14:31:12,351,323,26,0,0,0,0
2026-05-26 14:31:13,352,324,27,0,0,0,0
2026-05-26 14:31:13,352,325,26,0,0,0,0
2026-05-26 14:31:13,352,324,27,0,0,0,0
2026-05-26 14:31:14,350,323,27,0,0,0,0
2026-05-26 14:31:14,353,325,27,0,0,0,0
2026-05-26 14:31:14,352,324,26,0,0,0,0
2026-05-26 14:31:15,351,323,26,0,0,0,0
2026-05-26 14:31:15,353,325,27,0,0,0,0
2026-05-26 14:31:16,351,324,26,0,0,0,0
2026-05-26 14:31:16,352,324,27,0,0,0,0
2026-05-26 14:31:16,350,322,26,0,0,0,0
2026-05-26 14:31:17,353,324,27,0,0,0,0
2026-05-26 14:31:17,353,325,26,0,0,0,0
2026-05-26 14:31:17,351,324,26,0,0,0,0
2026-05-26 14:31:18,351,324,26,0,0,0,0
2026-05-26 14:31:18,352,324,27,0,0,0,0
2026-05-26 14:31:18,352,324,26,0,0,0,0
2026-05-26 14:31:19,352,324,27,0,0,0,0
2026-05-26 14:31:19,352,324,26,0,0,0,0
2026-05-26 14:31:20,350,323,26,0,0,0,0
2026-05-26 14:31:20,353,325,26,0,0,0,0
2026-05-26 14:31:20,351,323,26,0,0,0,0
2026-05-26 14:31:21,353,324,28,0,0,0,0
2026-05-26 14:31:21,351,323,26,0,0,0,0
2026-05-26 14:31:21,352,324,27,0,0,0,0
2026-05-26 14:31:22,351,323,27,0,0,0,0
2026-05-26 14:31:22,351,323,26,0,0,0,0
2026-05-26 14:31:22,351,323,26,0,0,0,0
2026-05-26 14:31:23,352,324,27,0,0,0,0
2026-05-26 14:31:23,351,323,27,0,0,0,0
2026-05-26 14:31:23,351,324,26,0,0,0,0
2026-05-26 14:31:24,352,324,26,0,0,0,0
2026-05-26 14:31:24,352,324,27,0,0,0,0
2026-05-26 14:31:25,353,325,26,0,0,0,0
2026-05-26 14:31:25,351,323,26,0,0,0,0
2026-05-26 14:31:25,352,324,27,0,0,0,0
2026-05-26 14:31:26,350,323,26,0,0,0,0
2026-05-26 14:31:26,352,323,27,0,0,0,0
2026-05-26 14:31:26,352,324,26,0,0,0,0
2026-05-26 14:31:27,352,324,27,0,0,0,0
2026-05-26 14:31:27,352,324,26,0,0,0,0
2026-05-26 14:31:28,352,323,27,0,0,0,0
2026-05-26 14:31:28,352,324,26,0,0,0,0
2026-05-26 14:31:28,351,323,27,0,0,0,0
2026-05-26 14:31:29,352,324,27,0,0,0,0
2026-05-26 14:31:29,351,323,26,0,0,0,0
2026-05-26 14:31:29,352,324,27,0,0,0,0
2026-05-26 14:31:30,351,324,26,0,0,0,0
2026-05-26 14:31:30,350,322,27,0,0,0,0
2026-05-26 14:31:30,351,324,26,0,0,0,0
2026-05-26 14:31:31,351,323,27,0,0,0,0
2026-05-26 14:31:31,351,323,26,0,0,0,0
2026-05-26 14:31:31,352,324,26,0,0,0,0
2026-05-26 14:31:32,350,322,26,0,0,0,0
2026-05-26 14:31:32,350,323,26,0,0,0,0
2026-05-26 14:31:33,351,323,26,0,0,0,0
2026-05-26 14:31:33,351,323,26,0,0,0,0
2026-05-26 14:31:33,350,322,26,0,0,0,0
2026-05-26 14:31:34,352,324,27,0,0,0,0
2026-05-26 14:31:34,350,323,26,0,0,0,0
2026-05-26 14:31:34,352,325,26,0,0,0,0
2026-05-26 14:31:35,351,324,26,0,0,0,0
2026-05-26 14:31:35,351,323,27,0,0,0,0
2026-05-26 14:31:35,352,324,27,0,0,0,0
2026-05-26 14:31:36,351,323,27,0,0,0,0
2026-05-26 14:31:36,352,323,27,0,0,0,0
2026-05-26 14:31:37,352,323,27,0,0,0,0
2026-05-26 14:31:37,351,323,26,0,0,0,0
2026-05-26 14:31:37,352,323,27,0,0,0,0
2026-05-26 14:31:38,352,324,26,0,0,0,0
2026-05-26 14:31:38,351,323,27,0,0,0,0
2026-05-26 14:31:38,352,325,26,0,0,0,0
2026-05-26 14:31:39,351,323,27,0,0,0,0
2026-05-26 14:31:39,352,324,26,0,0,0,0
2026-05-26 14:31:39,351,323,27,0,0,0,0
2026-05-26 14:31:40,351,323,26,0,0,0,0
2026-05-26 14:31:40,351,322,27,0,0,0,0
2026-05-26 14:31:40,352,324,26,0,0,0,0
2026-05-26 14:31:41,350,322,27,0,0,0,0
2026-05-26 14:31:41,351,323,26,0,0,0,0
2026-05-26 14:31:42,351,323,27,0,0,0,0
2026-05-26 14:31:42,352,324,26,0,0,0,0
2026-05-26 14:31:42,352,324,27,0,0,0,0
2026-05-26 14:31:43,351,323,26,0,0,0,0
2026-05-26 14:31:43,352,324,27,0,0,0,0
2026-05-26 14:31:43,351,323,26,0,0,0,0
2026-05-26 14:31:44,352,323,27,0,0,0,0
2026-05-26 14:31:44,351,323,26,0,0,0,0
2026-05-26 14:31:44,352,324,27,0,0,0,0
2026-05-26 14:31:45,350,323,26,0,0,0,0
2026-05-26 14:31:45,353,325,27,0,0,0,0
2026-05-26 14:31:46,351,323,27,0,0,0,0
2026-05-26 14:31:46,351,323,26,0,0,0,0
2026-05-26 14:31:46,351,323,27,0,0,0,0
2026-05-26 14:31:47,352,324,26,0,0,0,0
2026-05-26 14:31:47,351,323,27,0,0,0,0
2026-05-26 14:31:47,351,323,26,0,0,0,0
2026-05-26 14:31:48,351,322,27,0,0,0,0
2026-05-26 14:31:48,352,324,26,0,0,0,0
2026-05-26 14:31:48,352,324,27,0,0,0,0
2026-05-26 14:31:49,351,324,26,0,0,0,0
2026-05-26 14:31:49,353,325,27,0,0,0,0
2026-05-26 14:31:50,351,323,26,0,0,0,0
2026-05-26 14:31:50,352,324,27,0,0,0,0
2026-05-26 14:31:50,351,323,27,0,0,0,0
2026-05-26 14:31:51,351,322,28,0,0,0,0
2026-05-26 14:31:51,351,323,27,0,0,0,0
2026-05-26 14:31:51,352,324,27,0,0,0,0
2026-05-26 14:31:52,350,323,27,0,0,0,0
2026-05-26 14:31:52,352,324,27,0,0,0,0
2026-05-26 14:31:52,352,324,26,0,0,0,0
2026-05-26 14:31:53,351,323,27,0,0,0,0
2026-05-26 14:31:53,351,323,27,0,0,0,0
2026-05-26 14:31:53,352,323,27,0,0,0,0
2026-05-26 14:31:54,351,323,27,0,0,0,0
2026-05-26 14:31:54,351,324,26,0,0,0,0
2026-05-26 14:31:55,351,323,27,0,0,0,0
2026-05-26 14:31:55,352,324,27,0,0,0,0
